Annual_Death_Rate,Probability_of_Death,Number_of_Deaths,Life_Expectancy,ID,Female_Deaths,Male_Deaths,Total_Deaths,Year,Age,Female_population,Male_population,Total_population
1.755,1.728,1728,71,1973_0,23600.09,31996.44,55596.53,1973,0,1573380.82,1643375.34,3216756.16
0.121,0.12,118,71,1973_1,1763.38,2181.71,3945.09,1973,1,1670800.0,1743282.19,3414082.19
0.083,0.083,81,70,1973_2,1260.27,1607.52,2867.79,1973,2,1702547.95,1778564.38,3481112.33
0.062,0.062,61,69,1973_3,868.18,1302.43,2170.61,1973,3,1685561.64,1753567.12,3439128.76
0.054,0.054,53,68,1973_4,774.17,1088.36,1862.53,1973,4,1679038.36,1745536.99,3424575.35
0.049,0.049,48,67,1973_5,673.15,1005.33,1678.48,1973,5,1681947.95,1750953.42,3432901.37
0.044000000000000004,0.044000000000000004,43,66,1973_6,670.14,855.28,1525.42,1973,6,1736939.73,1799934.25,3536873.98
0.042,0.042,41,65,1973_7,603.13,924.3,1527.43,1973,7,1826860.27,1896865.75,3723726.02
0.036000000000000004,0.036000000000000004,36,64,1973_8,555.12,813.26,1368.38,1973,8,1882898.63,1959380.82,3842279.45
0.036000000000000004,0.036000000000000004,35,63,1973_9,551.12,865.29,1416.41,1973,9,1971967.12,2054972.6,4026939.72
0.033,0.033,32,63,1973_10,494.1,872.29,1366.39,1973,10,2068457.53,2156958.9,4225416.43
0.033,0.033,33,62,1973_11,542.12,839.28,1381.4,1973,11,2048956.16,2133953.42,4182909.58
0.037,0.037,36,61,1973_12,564.12,1002.32,1566.44,1973,12,2059043.84,2142550.68,4201594.52
0.044000000000000004,0.044000000000000004,43,60,1973_13,630.14,1213.4,1843.54,1973,13,2057490.41,2132000.0,4189490.41
0.054,0.054,53,59,1973_14,758.17,1554.51,2312.68,1973,14,2093501.37,2170493.15,4263994.52
0.06899999999999999,0.06899999999999999,67,58,1973_15,925.2,2024.66,2949.86,1973,15,2089512.33,2175509.59,4265021.92
0.096,0.096,93,57,1973_16,1148.25,2878.94,4027.19,1973,16,2040605.48,2117112.33,4157717.81
0.11399999999999999,0.11399999999999999,111,56,1973_17,1265.27,3409.11,4674.38,1973,17,1998038.36,2065536.99,4063575.35
0.14100000000000001,0.14100000000000001,137,55,1973_18,1430.31,4230.38,5660.69,1973,18,1982547.95,2007558.9,3990106.85
0.13999999999999999,0.13999999999999999,136,54,1973_19,1417.3,4185.37,5602.67,1973,19,1980076.71,1978578.08,3958654.79
0.14400000000000002,0.14400000000000002,140,53,1973_20,1416.31,4245.39,5661.7,1973,20,1944071.23,1933071.23,3877142.46
0.15,0.15,145,52,1973_21,1359.3,4211.38,5570.68,1973,21,1845065.75,1830082.19,3675147.94
0.148,0.148,143,51,1973_22,1318.28,4023.31,5341.59,1973,22,1782591.78,1750123.29,3532715.07
0.146,0.146,141,50,1973_23,1212.26,3858.26,5070.52,1973,23,1745501.37,1698024.66,3443526.03
0.13899999999999998,0.13799999999999998,133,49,1973_24,1288.28,3624.18,4912.46,1973,24,1792013.7,1748515.07,3540528.77
0.13999999999999999,0.13999999999999999,135,48,1973_25,1267.27,3684.21,4951.48,1973,25,1836824.66,1812320.55,3649145.21
0.134,0.134,129,47,1973_26,1333.29,3513.15,4846.44,1973,26,1625709.59,1606715.07,3232424.66
0.14100000000000001,0.14100000000000001,136,46,1973_27,1243.27,2811.92,4055.19,1973,27,1403961.64,1373479.45,2777441.09
0.149,0.149,143,46,1973_28,1238.27,2931.96,4170.23,1973,28,1420465.75,1379975.34,2800441.09
0.145,0.145,139,45,1973_29,1252.27,2935.96,4188.23,1973,29,1498904.11,1459400.0,2958304.11
0.149,0.149,142,44,1973_30,1474.32,3138.02,4612.34,1973,30,1503263.01,1470263.01,2973526.02
0.154,0.154,147,43,1973_31,1406.3,2709.88,4116.18,1973,31,1307112.33,1273112.33,2580224.66
0.166,0.166,158,42,1973_32,1361.3,2830.92,4192.22,1973,32,1246095.89,1203600.0,2449695.89
0.179,0.179,170,41,1973_33,1493.32,2761.9,4255.22,1973,33,1195030.14,1145531.51,2340561.65
0.182,0.182,173,40,1973_34,1534.33,2807.92,4342.25,1973,34,1210027.4,1156027.4,2366054.8
0.199,0.199,189,39,1973_35,1644.35,3009.98,4654.33,1973,35,1176049.32,1124052.05,2300101.37
0.215,0.214,203,38,1973_36,1805.39,3031.99,4837.38,1973,36,1149512.33,1093013.7,2242526.03
0.233,0.233,220,37,1973_37,1934.41,3279.07,5213.48,1973,37,1139520.55,1084010.96,2223531.51
0.255,0.254,240,36,1973_38,2084.45,3556.16,5640.61,1973,38,1118019.18,1067024.66,2185043.84
0.27499999999999997,0.27499999999999997,258,35,1973_39,2275.49,3760.23,6035.72,1973,39,1132972.6,1079482.19,2212454.79
0.298,0.298,279,34,1973_40,2511.55,4215.38,6726.93,1973,40,1149005.48,1099997.26,2249002.74
0.317,0.316,296,34,1973_41,2672.58,4435.44,7108.02,1973,41,1152460.27,1107961.64,2260421.91
0.35300000000000004,0.35200000000000004,328,33,1973_42,3010.65,5124.68,8135.33,1973,42,1200904.11,1151421.92,2352326.03
0.38999999999999996,0.38999999999999996,362,32,1973_43,3499.76,5699.86,9199.62,1973,43,1215038.36,1158542.47,2373580.83
0.41200000000000003,0.411,380,31,1973_44,3693.8,6060.98,9754.78,1973,44,1209975.34,1150978.08,2360953.42
0.466,0.46499999999999997,428,30,1973_45,3961.85,7014.29,10976.14,1973,45,1215994.52,1149002.74,2364997.26
0.52,0.519,475,29,1973_46,4600.0,7676.51,12276.51,1973,46,1222468.49,1147980.82,2370449.31
0.562,0.5599999999999999,511,28,1973_47,5036.09,8373.73,13409.82,1973,47,1246956.16,1163964.38,2410920.54
0.62,0.618,561,27,1973_48,5605.21,9314.04,14919.25,1973,48,1254010.96,1162509.59,2416520.55
0.6479999999999999,0.6459999999999999,582,27,1973_49,5764.24,10022.27,15786.51,1973,49,1261509.59,1165008.22,2426517.81
0.72,0.717,642,26,1973_50,6336.37,10922.56,17258.93,1973,50,1249476.71,1158463.01,2407939.72
0.762,0.759,674,25,1973_51,6696.45,11735.83,18432.28,1973,51,1250049.32,1163038.36,2413087.68
0.832,0.8290000000000001,731,24,1973_52,7137.54,12793.17,19930.71,1973,52,1240465.75,1150471.23,2390936.98
0.8920000000000001,0.8880000000000001,777,23,1973_53,7698.66,13333.35,21032.01,1973,53,1216087.67,1120087.67,2336175.34
0.9769999999999999,0.972,843,23,1973_54,7921.71,14119.61,22041.32,1973,54,1147071.23,1053553.42,2200624.65
1.084,1.078,926,22,1973_55,8212.77,14961.89,23174.66,1973,55,1096035.62,1006531.51,2102567.13
1.196,1.189,1010,21,1973_56,8789.89,15965.21,24755.1,1973,56,1075000.0,982495.89,2057495.89
1.315,1.307,1097,20,1973_57,9544.06,17287.64,26831.7,1973,57,1070986.3,974983.56,2045969.86
1.4040000000000001,1.394,1155,20,1973_58,9929.15,18358.0,28287.15,1973,58,1056528.77,955515.07,2012043.84
1.539,1.5270000000000001,1247,19,1973_59,10785.33,19808.47,30593.8,1973,59,1040010.96,933515.07,1973526.03
1.709,1.694,1363,18,1973_60,11271.43,21032.87,32304.3,1973,60,995526.03,886016.44,1881542.47
1.7579999999999998,1.743,1378,17,1973_61,11554.5,21355.97,32910.47,1973,61,983515.07,871515.07,1855030.14
1.97,1.95,1515,17,1973_62,12883.78,23417.65,36301.43,1973,62,986972.6,860471.23,1847443.83
