Year,Female,Male,Total
1973,1528639,1608326,3136965
1974,1537844,1622114,3159958
1975,1531063,1613135,3144198
1976,1543352,1624436,3167788
1977,1620716,1705916,3326632
1978,1623885,1709394,3333279
1979,1703131,1791267,3494398
1980,1759642,1852616,3612258
1981,1768966,1860272,3629238
1982,1794861,1885676,3680537
1983,1773380,1865553,3638933
1984,1789651,1879490,3669141
1985,1832578,1927983,3760561
1986,1831679,1924868,3756547
1987,1858241,1951153,3809394
1988,1907086,2002424,3909510
1989,1971468,2069490,4040958
1990,2028717,2129495,4158212
1991,2009389,2101518,4110907
1992,1982917,2082097,4065014
1993,1951379,2048861,4000240
1994,1930178,2022589,3952767
1995,1903234,1996355,3899589
1996,1901014,1990480,3891494
1997,1895298,1985596,3880894
1998,1925348,2016205,3941553
1999,1932563,2026854,3959417
2000,1981845,2076969,4058814
2001,1968011,2057922,4025933
2002,1963747,2057979,4021726
2003,1996415,2093535,4089950
2004,2007391,2104661,4112052
2005,2019367,2118982,4138349
2006,2081318,2184237,4265555
2007,2108162,2208071,4316233
2008,2074305,2173389,4247694
2009,2016809,2113856,4130665
2010,1952451,2046935,3999386
2011,1929538,2024052,3953590
2012,1931407,2021434,3952841
2013,1919227,2012954,3932181
2014,1947375,2040701,3988076
2015,1942336,2036161,3978497
2016,1927692,2018183,3945875
2017,1882615,1972885,3855500
2018,1853533,1938179,3791712
2019,1830094,1917446,3747540
2020,1765555,1848092,3613647
2021,1790876,1873416,3664292
