Year,Age,Annual Death Rate,Probability of Death,Number of Deaths,Life Expectancy
1973,0,1.755,1.728,1728,71
1973,1,0.121,0.12,118,71
1973,2,0.083,0.083,81,70
1973,3,0.062,0.062,61,69
1973,4,0.054,0.054,53,68
1973,5,0.049,0.049,48,67
1973,6,0.044000000000000004,0.044000000000000004,43,66
1973,7,0.042,0.042,41,65
1973,8,0.036000000000000004,0.036000000000000004,36,64
1973,9,0.036000000000000004,0.036000000000000004,35,63
1973,10,0.033,0.033,32,63
1973,11,0.033,0.033,33,62
1973,12,0.037,0.037,36,61
1973,13,0.044000000000000004,0.044000000000000004,43,60
1973,14,0.054,0.054,53,59
1973,15,0.06899999999999999,0.06899999999999999,67,58
1973,16,0.096,0.096,93,57
1973,17,0.11399999999999999,0.11399999999999999,111,56
1973,18,0.14100000000000001,0.14100000000000001,137,55
1973,19,0.13999999999999999,0.13999999999999999,136,54
1973,20,0.14400000000000002,0.14400000000000002,140,53
1973,21,0.15,0.15,145,52
1973,22,0.148,0.148,143,51
1973,23,0.146,0.146,141,50
1973,24,0.13899999999999998,0.13799999999999998,133,49
1973,25,0.13999999999999999,0.13999999999999999,135,48
1973,26,0.134,0.134,129,47
1973,27,0.14100000000000001,0.14100000000000001,136,46
1973,28,0.149,0.149,143,46
1973,29,0.145,0.145,139,45
1973,30,0.149,0.149,142,44
1973,31,0.154,0.154,147,43
1973,32,0.166,0.166,158,42
1973,33,0.179,0.179,170,41
1973,34,0.182,0.182,173,40
1973,35,0.199,0.199,189,39
1973,36,0.215,0.214,203,38
1973,37,0.233,0.233,220,37
1973,38,0.255,0.254,240,36
1973,39,0.27499999999999997,0.27499999999999997,258,35
1973,40,0.298,0.298,279,34
1973,41,0.317,0.316,296,34
1973,42,0.35300000000000004,0.35200000000000004,328,33
1973,43,0.38999999999999996,0.38999999999999996,362,32
1973,44,0.41200000000000003,0.411,380,31
1973,45,0.466,0.46499999999999997,428,30
1973,46,0.52,0.519,475,29
1973,47,0.562,0.5599999999999999,511,28
1973,48,0.62,0.618,561,27
1973,49,0.6479999999999999,0.6459999999999999,582,27
1973,50,0.72,0.717,642,26
1973,51,0.762,0.759,674,25
1973,52,0.832,0.8290000000000001,731,24
1973,53,0.8920000000000001,0.8880000000000001,777,23
1973,54,0.9769999999999999,0.972,843,23
1973,55,1.084,1.078,926,22
1973,56,1.196,1.189,1010,21
1973,57,1.315,1.307,1097,20
1973,58,1.4040000000000001,1.394,1155,20
1973,59,1.539,1.5270000000000001,1247,19
1973,60,1.709,1.694,1363,18
1973,61,1.7579999999999998,1.743,1378,17
1973,62,1.97,1.95,1515,17
1973,63,2.045,2.025,1542,16
1973,64,2.164,2.141,1598,15
1973,65,2.442,2.412,1762,15
1973,66,2.55,2.5180000000000002,1795,14
1973,67,2.8000000000000003,2.762,1919,13
1973,68,3.008,2.964,2002,13
1973,69,3.3000000000000003,3.247,2128,12
1973,70,3.7760000000000002,3.7060000000000004,2351,12
1973,71,3.794,3.724,2274,11
1973,72,4.542,4.441,2612,11
1973,73,4.652,4.546,2554,10
1973,74,4.865,4.749,2547,10
1973,75,5.647,5.492,2806,9
1973,76,5.938000000000001,5.7669999999999995,2784,9
1973,77,6.516,6.311,2871,8
1973,78,6.923,6.691,2852,8
1973,79,7.550999999999999,7.277,2894,7
1973,80,8.545,8.195,3022,7
1973,81,8.972,8.587,2907,6
1973,82,9.9,9.433,2920,6
1973,83,11.067,10.485999999999999,2939,6
1973,84,12.179,11.48,2881,5
1973,85,13.284,12.457,2767,5
1973,86,14.322,13.364999999999998,2599,4
1973,87,15.781999999999998,14.628,2464,4
1973,88,17.217,15.852,2280,4
1973,89,18.829,17.209,2083,4
1973,90,20.635,18.705,1874,3
1973,91,21.456,19.377,1578,3
1973,92,23.874000000000002,21.328,1401,3
1973,93,26.551000000000002,23.439,1211,3
1973,94,27.378000000000004,24.081,952,3
1973,95,29.733999999999998,25.885,777,2
1973,96,31.961000000000002,27.557,613,2
1973,97,34.28,29.264000000000003,472,2
1973,98,36.684,30.997999999999998,354,2
1973,99,39.162,32.749,258,2
1973,100,41.704,34.509,183,2
1973,101,44.298,36.265,126,2
1973,102,46.929,38.01,84,1
1973,103,49.583,39.732,54,1
1973,104,52.244,41.423,34,1
1973,105,54.898,43.074,21,1
1973,106,57.528999999999996,44.678000000000004,12,1
1973,107,60.122,46.226,7,1
1973,108,62.663000000000004,47.714,4,1
1973,109,65.14,49.136,2,1
1973,0,67.54,100.0,2,1
1974,0,1.709,1.6840000000000002,1684,71
1974,1,0.11199999999999999,0.11199999999999999,110,72
1974,2,0.075,0.075,74,71
1974,3,0.062,0.062,61,70
1974,4,0.049,0.049,48,69
1974,5,0.043,0.043,43,68
1974,6,0.04,0.04,39,67
1974,7,0.037,0.037,36,66
1974,8,0.034,0.034,33,65
