Year,Age,Female_population,Male_population,Total_population,ID
1973,0,1573380.82,1643375.34,3216756.16,1973_0
1973,1,1670800.0,1743282.19,3414082.19,1973_1
1973,2,1702547.95,1778564.38,3481112.33,1973_2
1973,3,1685561.64,1753567.12,3439128.76,1973_3
1973,4,1679038.36,1745536.99,3424575.35,1973_4
1973,5,1681947.95,1750953.42,3432901.37,1973_5
1973,6,1736939.73,1799934.25,3536873.98,1973_6
1973,7,1826860.27,1896865.75,3723726.02,1973_7
1973,8,1882898.63,1959380.82,3842279.45,1973_8
1973,9,1971967.12,2054972.6,4026939.72,1973_9
1973,10,2068457.53,2156958.9,4225416.43,1973_10
1973,11,2048956.16,2133953.42,4182909.58,1973_11
1973,12,2059043.84,2142550.68,4201594.52,1973_12
1973,13,2057490.41,2132000.0,4189490.41,1973_13
1973,14,2093501.37,2170493.15,4263994.52,1973_14
1973,15,2089512.33,2175509.59,4265021.92,1973_15
1973,16,2040605.48,2117112.33,4157717.81,1973_16
1973,17,1998038.36,2065536.99,4063575.35,1973_17
1973,18,1982547.95,2007558.9,3990106.85,1973_18
1973,19,1980076.71,1978578.08,3958654.79,1973_19
1973,20,1944071.23,1933071.23,3877142.46,1973_20
1973,21,1845065.75,1830082.19,3675147.94,1973_21
1973,22,1782591.78,1750123.29,3532715.07,1973_22
1973,23,1745501.37,1698024.66,3443526.03,1973_23
1973,24,1792013.7,1748515.07,3540528.77,1973_24
1973,25,1836824.66,1812320.55,3649145.21,1973_25
1973,26,1625709.59,1606715.07,3232424.66,1973_26
1973,27,1403961.64,1373479.45,2777441.09,1973_27
1973,28,1420465.75,1379975.34,2800441.09,1973_28
1973,29,1498904.11,1459400.0,2958304.11,1973_29
1973,30,1503263.01,1470263.01,2973526.02,1973_30
1973,31,1307112.33,1273112.33,2580224.66,1973_31
1973,32,1246095.89,1203600.0,2449695.89,1973_32
1973,33,1195030.14,1145531.51,2340561.65,1973_33
1973,34,1210027.4,1156027.4,2366054.8,1973_34
1973,35,1176049.32,1124052.05,2300101.37,1973_35
1973,36,1149512.33,1093013.7,2242526.03,1973_36
1973,37,1139520.55,1084010.96,2223531.51,1973_37
1973,38,1118019.18,1067024.66,2185043.84,1973_38
1973,39,1132972.6,1079482.19,2212454.79,1973_39
1973,40,1149005.48,1099997.26,2249002.74,1973_40
1973,41,1152460.27,1107961.64,2260421.91,1973_41
1973,42,1200904.11,1151421.92,2352326.03,1973_42
1973,43,1215038.36,1158542.47,2373580.83,1973_43
1973,44,1209975.34,1150978.08,2360953.42,1973_44
1973,45,1215994.52,1149002.74,2364997.26,1973_45
1973,46,1222468.49,1147980.82,2370449.31,1973_46
1973,47,1246956.16,1163964.38,2410920.54,1973_47
1973,48,1254010.96,1162509.59,2416520.55,1973_48
1973,49,1261509.59,1165008.22,2426517.81,1973_49
1973,50,1249476.71,1158463.01,2407939.72,1973_50
1973,51,1250049.32,1163038.36,2413087.68,1973_51
1973,52,1240465.75,1150471.23,2390936.98,1973_52
1973,53,1216087.67,1120087.67,2336175.34,1973_53
1973,54,1147071.23,1053553.42,2200624.65,1973_54
1973,55,1096035.62,1006531.51,2102567.13,1973_55
1973,56,1075000.0,982495.89,2057495.89,1973_56
1973,57,1070986.3,974983.56,2045969.86,1973_57
1973,58,1056528.77,955515.07,2012043.84,1973_58
1973,59,1040010.96,933515.07,1973526.03,1973_59
1973,60,995526.03,886016.44,1881542.47,1973_60
1973,61,983515.07,871515.07,1855030.14,1973_61
1973,62,986972.6,860471.23,1847443.83,1973_62
1973,63,975068.49,835564.38,1810632.87,1973_63
1973,64,943030.14,789517.81,1732547.95,1973_64
1973,65,909564.38,749046.58,1658610.96,1973_65
1973,66,873526.03,706515.07,1580041.1,1973_66
1973,67,842526.03,673016.44,1515542.47,1973_67
1973,68,800545.21,630528.77,1431073.98,1973_68
1973,69,750030.14,585520.55,1335550.69,1973_69
1973,70,679553.42,520038.36,1199591.78,1973_70
1973,71,667939.73,498969.86,1166909.59,1973_71
1973,72,668983.56,483482.19,1152465.75,1973_72
1973,73,631564.38,449043.84,1080608.22,1973_73
1973,74,569536.99,396515.07,966052.06,1973_74
1973,75,531997.26,364989.04,896986.3,1973_75
1973,76,519484.93,347989.04,867473.97,1973_76
1973,77,499512.33,326498.63,826010.96,1973_77
1973,78,466534.25,302512.33,769046.58,1973_78
1973,79,427504.11,272498.63,700002.74,1973_79
1973,80,395504.41,242050.0,637554.41,1973_80
1973,81,344294.49,203073.93,547368.42,1973_81
1973,82,315835.47,180161.99,495997.46,1973_82
1973,83,282605.08,159448.22,442053.3,1973_83
1973,84,248172.17,137934.84,386107.01,1973_84
1973,85,199680.14,108189.42,307869.56,1973_85
1973,86,172264.16,90593.28,262857.44,1973_86
1973,87,146128.11,75452.15,221580.26,1973_87
1973,88,121748.51,61274.63,183023.14,1973_88
1973,89,97015.02,46802.83,143817.85,1973_89
1973,90,76915.89,36314.18,113230.07,1973_90
1973,91,59079.19,27024.84,86104.03,1973_91
1973,92,46571.08,20674.44,67245.52,1973_92
1973,93,33328.63,13984.5,47313.13,1973_93
1973,94,23899.47,9769.48,33668.95,1973_94
1973,95,17450.03,7099.81,24549.84,1973_95
1973,96,12758.88,4921.9,17680.78,1973_96
1973,97,8921.0,3282.97,12203.97,1973_97
1973,98,5748.92,2115.35,7864.27,1973_98
1973,99,3701.77,1358.86,5060.63,1973_99
1973,100,2571.03,991.41,3562.44,1973_100
1973,101,1621.99,599.35,2221.34,1973_101
1973,102,1108.86,432.2,1541.06,1973_102
1973,103,711.7,271.91,983.61,1973_103
1973,104,429.79,169.88,599.67,1973_104
1973,105,282.99,109.1,392.09,1973_105
1973,106,186.82,76.39,263.21,1973_106
1973,107,124.23,60.36,184.59,1973_107
1973,108,85.31,45.38,130.69,1973_108
1973,109,68.12,27.22,95.34,1973_109
1973,110,165.09,85.86,250.95,1973_110
1974,0,1512953.42,1583460.27,3096413.69,1974_0
1974,1,1551873.97,1616871.23,3168745.2,1974_1
1974,2,1649306.85,1724789.04,3374095.89,1974_2
1974,3,1727052.05,1802065.75,3529117.8,1974_3
1974,4,1715561.64,1783567.12,3499128.76,1974_4
1974,5,1677038.36,1746534.25,3423572.61,1974_5
1974,6,1694945.21,1757950.68,3452895.89,1974_6
1974,7,1754942.47,1824936.99,3579879.46,1974_7
1974,8,1793356.16,1864860.27,3658216.43,1974_8
1974,9,1924904.11,2002383.56,3927287.67,1974_9
1974,10,2037958.9,2128964.38,4166923.28,1974_10
1974,11,2019964.38,2104465.75,4124430.13,1974_11
1974,12,2056950.68,2142449.32,4199400.0,1974_12
1974,13,2070545.21,2152054.79,4222600.0,1974_13
1974,14,2089989.04,2166495.89,4256484.93,1974_14
1974,15,2095504.11,2177495.89,4273000.0,1974_15
1974,16,2084515.07,2162512.33,4247027.4,1974_16
1974,17,2050605.48,2121115.07,4171720.55,1974_17
1974,18,2012032.88,2045043.84,4057076.72,1974_18
1974,19,2029057.53,2034073.97,4063131.5,1974_19
1974,20,1995569.86,1994597.26,3990167.12,1974_20
1974,21,1895071.23,1890583.56,3785654.79,1974_21
1974,22,1840065.75,1820068.49,3660134.24,1974_22
1974,23,1780594.52,1748112.33,3528706.85,1974_23
1974,24,1795495.89,1756506.85,3552002.74,1974_24
1974,25,1779517.81,1751010.96,3530528.77,1974_25
1974,26,1820827.4,1801320.55,3622147.95,1974_26
1974,27,1652717.81,1629219.18,3281936.99,1974_27
1974,28,1390953.42,1360471.23,2751424.65,1974_28
