"Size of Household
and year",Number (thousands),Median Income Current dollars,Median Income 2022 dollars,Mean Income Current dollars,Mean Income 2022 dollars,Average size of household
2022,"131,400","74,580","74,580","106,400","106,400",2.51
2021,"131,200","70,780","76,330","102,300","110,300",2.50
2020 (41),"129,200","68,010","76,660","97,470","109,900",2.54
2019,"128,500","68,700","78,250","98,090","111,700",2.53
2018,"128,600","63,180","73,030","90,020","104,100",2.52
2017 (40),"127,700","61,140","72,090","87,640","103,300",2.53
2017,"127,600","61,370","72,370","86,220","101,700",2.53
2016,"126,200","59,040","70,840","83,140","99,760",2.54
2015,"125,800","56,520","68,410","79,260","95,950",2.53
2014,"124,600","53,660","64,900","75,740","91,610",2.54
2013 (39),"123,900","53,590","65,740","75,200","92,250",2.53
2013 (38),"123,000","51,940","63,720","72,640","89,120",2.55
2012,"122,500","51,020","63,350","71,270","88,500",2.54
2011,"121,100","50,050","63,350","69,680","88,190",2.55
2010 (37),"119,900","49,280","64,300","67,390","87,940",2.56
2009 (36),"117,500","49,780","65,850","67,980","89,920",2.59
2008,"117,200","50,300","66,280","68,420","90,150",2.57
2007,"116,800","50,230","68,610","67,610","92,340",2.56
2006,"116,000","48,200","67,520","66,570","93,260",2.56
2005,"114,400","46,330","66,780","63,340","91,310",2.57
2004 (35),"113,300","44,330","65,760","60,470","89,690",2.57
2003,"112,000","43,320","65,860","59,070","89,810",2.57
2002,"111,300","42,410","65,820","57,850","89,790",2.57
2001,"109,300","42,230","66,360","58,210","91,470",2.58
2000 (30),"108,200","41,990","67,470","57,140","91,810",2.58
1999 (29),"106,400","40,700","67,650","54,740","90,990",2.60
1998,"103,900","38,890","65,980","51,860","87,980",2.61
1997,"102,500","37,010","63,640","49,690","85,460",2.62
1996,"101,000","35,490","62,350","47,120","82,780",2.64
1995 (25),"99,630","34,080","61,440","44,940","81,030",2.65
1994 (24),"98,990","32,260","59,550","43,130","79,610",2.65
1993 (23),"97,110","31,240","58,920","41,430","78,140",2.67
1992 (22),"96,430","30,640","59,210","38,840","75,070",2.66
1991,"95,670","30,130","59,710","37,920","75,160",2.62
1990,"94,310","29,940","61,500","37,400","76,820",2.63
1989,"93,350","28,910","62,260","36,520","78,660",2.63
1988,"92,830","27,230","61,210","34,020","76,480",2.62
1987 (21),"91,120","26,060","60,760","32,410","75,560",2.64
1986,"89,480","24,900","60,010","30,760","74,140",2.66
1985 (20),"88,460","23,620","57,860","29,070","71,210",2.67
1984 (19),"86,790","22,420","56,780","27,460","69,570",2.69
1983,"85,410","20,890","55,120","25,400","67,040",2.71
1982,"83,920","20,170","55,470","24,310","66,850",2.73
1981,"83,530","19,070","55,630","22,790","66,460",2.72
1980,"82,370","17,710","56,580","21,060","67,300",2.73
1979 (18),"80,780","16,460","58,400","19,550","69,370",2.76
1978,"77,330","15,060","58,510","17,730","68,860",2.78
1977,"76,030","13,570","56,320","16,100","66,810",2.81
1976 (17),"74,140","12,690","56,040","14,920","65,920",2.86
1975 (16),"72,870","11,800","55,100","13,780","64,340",2.89
