Year,Age,Female_Deaths,Male_Deaths,Total_Deaths,ID
1973,0,23600.09,31996.44,55596.53,1973_0
1973,1,1763.38,2181.71,3945.09,1973_1
1973,2,1260.27,1607.52,2867.79,1973_2
1973,3,868.18,1302.43,2170.61,1973_3
1973,4,774.17,1088.36,1862.53,1973_4
1973,5,673.15,1005.33,1678.48,1973_5
1973,6,670.14,855.28,1525.42,1973_6
1973,7,603.13,924.3,1527.43,1973_7
1973,8,555.12,813.26,1368.38,1973_8
1973,9,551.12,865.29,1416.41,1973_9
1973,10,494.1,872.29,1366.39,1973_10
1973,11,542.12,839.28,1381.4,1973_11
1973,12,564.12,1002.32,1566.44,1973_12
1973,13,630.14,1213.4,1843.54,1973_13
1973,14,758.17,1554.51,2312.68,1973_14
1973,15,925.2,2024.66,2949.86,1973_15
1973,16,1148.25,2878.94,4027.19,1973_16
1973,17,1265.27,3409.11,4674.38,1973_17
1973,18,1430.31,4230.38,5660.69,1973_18
1973,19,1417.3,4185.37,5602.67,1973_19
1973,20,1416.31,4245.39,5661.7,1973_20
1973,21,1359.3,4211.38,5570.68,1973_21
1973,22,1318.28,4023.31,5341.59,1973_22
1973,23,1212.26,3858.26,5070.52,1973_23
1973,24,1288.28,3624.18,4912.46,1973_24
1973,25,1267.27,3684.21,4951.48,1973_25
1973,26,1333.29,3513.15,4846.44,1973_26
1973,27,1243.27,2811.92,4055.19,1973_27
1973,28,1238.27,2931.96,4170.23,1973_28
1973,29,1252.27,2935.96,4188.23,1973_29
1973,30,1474.32,3138.02,4612.34,1973_30
1973,31,1406.3,2709.88,4116.18,1973_31
1973,32,1361.3,2830.92,4192.22,1973_32
1973,33,1493.32,2761.9,4255.22,1973_33
1973,34,1534.33,2807.92,4342.25,1973_34
1973,35,1644.35,3009.98,4654.33,1973_35
1973,36,1805.39,3031.99,4837.38,1973_36
1973,37,1934.41,3279.07,5213.48,1973_37
1973,38,2084.45,3556.16,5640.61,1973_38
1973,39,2275.49,3760.23,6035.72,1973_39
1973,40,2511.55,4215.38,6726.93,1973_40
1973,41,2672.58,4435.44,7108.02,1973_41
1973,42,3010.65,5124.68,8135.33,1973_42
1973,43,3499.76,5699.86,9199.62,1973_43
1973,44,3693.8,6060.98,9754.78,1973_44
1973,45,3961.85,7014.29,10976.14,1973_45
1973,46,4600.0,7676.51,12276.51,1973_46
1973,47,5036.09,8373.73,13409.82,1973_47
1973,48,5605.21,9314.04,14919.25,1973_48
1973,49,5764.24,10022.27,15786.51,1973_49
1973,50,6336.37,10922.56,17258.93,1973_50
1973,51,6696.45,11735.83,18432.28,1973_51
1973,52,7137.54,12793.17,19930.71,1973_52
1973,53,7698.66,13333.35,21032.01,1973_53
1973,54,7921.71,14119.61,22041.32,1973_54
1973,55,8212.77,14961.89,23174.66,1973_55
1973,56,8789.89,15965.21,24755.1,1973_56
1973,57,9544.06,17287.64,26831.7,1973_57
1973,58,9929.15,18358.0,28287.15,1973_58
1973,59,10785.33,19808.47,30593.8,1973_59
1973,60,11271.43,21032.87,32304.3,1973_60
1973,61,11554.5,21355.97,32910.47,1973_61
1973,62,12883.78,23417.65,36301.43,1973_62
1973,63,13162.84,24144.88,37307.72,1973_63
1973,64,13690.95,24509.0,38199.95,1973_64
1973,65,15037.25,26159.54,41196.79,1973_65
1973,66,15139.26,25858.44,40997.7,1973_66
1973,67,16181.49,26662.7,42844.19,1973_67
1973,68,16733.61,26965.81,43699.42,1973_68
1973,69,17349.75,27467.97,44817.72,1973_69
1973,70,18445.98,27725.05,46171.03,1973_70
1973,71,17972.88,26409.62,44382.5,1973_71
1973,72,21917.72,29375.59,51293.31,1973_72
1973,73,22401.84,28569.33,50971.17,1973_73
1973,74,21461.63,26953.8,48415.43,1973_74
1973,75,23204.0,27874.1,51078.1,1973_75
1973,76,23746.13,27375.93,51122.06,1973_76
1973,77,25554.51,28077.17,53631.68,1973_77
1973,78,26672.75,27366.93,54039.68,1973_78
1973,79,26698.76,26752.74,53451.5,1973_79
1973,80,28158.07,26308.59,54466.66,1973_80
1973,81,26528.73,24235.91,50764.64,1973_81
1973,82,26519.73,22660.39,49180.12,1973_82
1973,83,27272.88,21881.15,49154.03,1973_83
1973,84,26626.74,20859.81,47486.55,1973_84
1973,85,24616.31,18431.01,43047.32,1973_85
1973,86,22284.81,15705.13,37989.94,1973_86
1973,87,21020.53,14285.66,35306.19,1973_87
1973,88,19588.22,12334.02,31922.24,1973_88
1973,89,17329.74,10596.46,27926.2,1973_89
1973,90,15181.28,8667.83,23849.11,1973_90
1973,91,12102.61,6961.27,19063.88,1973_91
1973,92,10621.29,5585.83,16207.12,1973_92
1973,93,8655.87,4570.5,13226.37,1973_93
1973,94,6572.42,2957.97,9530.39,1973_94
1973,95,5108.1,2386.78,7494.88,1973_95
1973,96,3894.84,1777.58,5672.42,1973_96
1973,97,3051.66,1262.41,4314.07,1973_97
1973,98,2078.44,833.27,2911.71,1973_98
1973,99,1286.27,587.19,1873.46,1973_99
1973,100,946.21,371.12,1317.33,1973_100
1973,101,655.14,235.07,890.21,1973_101
1973,102,398.08,144.04,542.12,1973_102
1973,103,297.06,115.04,412.1,1973_103
1973,104,158.04,63.02,221.06,1973_104
1973,105,104.02,46.02,150.04,1973_105
1973,106,80.02,24.0,104.02,1973_106
1973,107,47.02,16.0,63.02,1973_107
1973,108,28.0,10.0,38.0,1973_108
1973,109,20.0,7.0,27.0,1973_109
1973,0,51.0,21.0,72.0,1973_0
1974,0,22475.64,30314.51,52790.15,1974_0
1974,1,1575.32,1893.59,3468.91,1974_1
1974,2,1027.21,1404.44,2431.65,1974_2
1974,3,924.19,1264.4,2188.59,1974_3
1974,4,718.15,1026.32,1744.47,1974_4
1974,5,621.13,884.27,1505.4,1974_5
1974,6,532.11,823.25,1355.36,1974_6
1974,7,524.1,782.24,1306.34,1974_7
1974,8,473.1,750.24,1223.34,1974_8
1974,9,463.1,775.24,1238.34,1974_9
1974,10,464.1,743.24,1207.34,1974_10
1974,11,498.1,772.24,1270.34,1974_11
1974,12,556.12,935.3,1491.42,1974_12
1974,13,630.13,1200.38,1830.51,1974_13
1974,14,711.15,1500.47,2211.62,1974_14
1974,15,852.18,1844.58,2696.76,1974_15
1974,16,1056.22,2685.84,3742.06,1974_16
1974,17,1153.23,3418.08,4571.31,1974_17
1974,18,1318.27,3999.25,5317.52,1974_18
1974,19,1374.28,4286.34,5660.62,1974_19
1974,20,1267.26,3989.26,5256.52,1974_20
1974,21,1314.27,4160.31,5474.58,1974_21
1974,22,1260.26,3942.24,5202.5,1974_22
1974,23,1228.25,3827.2,5055.45,1974_23
1974,24,1252.25,3587.12,4839.37,1974_24
1974,25,1278.27,3561.12,4839.39,1974_25
1974,26,1307.27,3357.05,4664.32,1974_26
1974,27,1408.29,3440.08,4848.37,1974_27
1974,28,1168.25,2726.86,3895.11,1974_28
1974,29,1231.26,2682.84,3914.1,1974_29
1974,30,1285.27,2822.88,4108.15,1974_30
1974,31,1464.3,2885.91,4350.21,1974_31
1974,32,1312.27,2902.91,4215.18,1974_32
1974,33,1467.3,2790.87,4258.17,1974_33
1974,34,1565.32,2821.88,4387.2,1974_34
1974,35,1569.32,2792.87,4362.19,1974_35
1974,36,1677.34,2923.92,4601.26,1974_36
1974,37,1810.38,3050.96,4861.34,1974_37
1974,38,1928.4,3372.06,5300.46,1974_38
1974,39,2086.43,3666.15,5752.58,1974_39
1974,40,2287.48,3889.22,6176.7,1974_40
1974,41,2528.52,4121.29,6649.81,1974_41
1974,42,2954.61,4725.48,7680.09,1974_42
1974,43,3166.65,5195.63,8362.28,1974_43
1974,44,3636.75,6032.89,9669.64,1974_44
1974,45,3766.78,6619.07,10385.85,1974_45
1974,46,4303.89,7238.27,11542.16,1974_46
1974,47,4536.94,8056.52,12593.46,1974_47
1974,48,5124.05,8915.79,14039.84,1974_48
1974,49,5685.18,9857.09,15542.27,1974_49
1974,50,6100.26,10643.34,16743.6,1974_50
1974,51,6459.34,11319.54,17778.88,1974_51
1974,52,7143.47,12403.89,19547.36,1974_52
1974,53,7485.55,13173.13,20658.68,1974_53
1974,54,7746.6,14198.45,21945.05,1974_54
1974,55,8025.65,14502.54,22528.19,1974_55
1974,56,8799.82,15358.82,24158.64,1974_56
1974,57,8832.82,16378.13,25210.95,1974_57
1974,58,9545.97,17865.6,27411.57,1974_58
1974,59,10333.13,19011.96,29345.09,1974_59
1974,60,11221.32,20384.39,31605.71,1974_60
1974,61,11669.41,21144.63,32814.04,1974_61
1974,62,12302.54,22321.0,34623.54,1974_62
1974,63,13123.71,23369.32,36493.03,1974_63
1974,64,13839.86,24249.61,38089.47,1974_64
1974,65,14588.01,25503.0,40091.01,1974_65
1974,66,15119.12,25899.12,41018.24,1974_66
1974,67,15920.28,26487.31,42407.59,1974_67
1974,68,16583.42,26827.42,43410.84,1974_68
1974,69,17339.58,27165.51,44505.09,1974_69
1974,70,18227.76,27266.55,45494.31,1974_70
1974,71,18430.8,26882.43,45313.23,1974_71
1974,72,19508.02,27155.51,46663.53,1974_72
1974,73,22085.56,28489.93,50575.49,1974_73
1974,74,22923.73,28179.84,51103.57,1974_74
1974,75,22359.61,26424.28,48783.89,1974_75
1974,76,23410.83,26478.3,49889.13,1974_76
1974,77,23538.86,26494.3,50033.16,1974_77
1974,78,26042.38,26680.36,52722.74,1974_78
1974,79,26185.4,25941.13,52126.53,1974_79
1974,80,27000.57,25326.95,52327.52,1974_80
1974,81,26747.51,24149.57,50897.08,1974_81
1974,82,26589.48,22698.11,49287.59,1974_82
1974,83,26340.43,20774.51,47114.94,1974_83
1974,84,26914.55,20271.36,47185.91,1974_84
1974,85,25413.24,18758.88,44172.12,1974_85
1974,86,23420.84,16404.14,39824.98,1974_86
1974,87,20564.25,13628.28,34192.53,1974_87
1974,88,19544.03,12463.9,32007.93,1974_88
1974,89,17507.61,10614.33,28121.94,1974_89
1974,90,15156.13,8776.75,23932.88,1974_90
1974,91,12581.6,7072.22,19653.82,1974_91
1974,92,10693.21,5714.79,16408.0,1974_92
1974,93,8816.81,4417.39,13234.2,1974_93
1974,94,7061.46,3357.05,10418.51,1974_94
1974,95,5268.09,2228.7,7496.79,1974_95
1974,96,3852.8,1801.57,5654.37,1974_96
1974,97,2990.61,1245.39,4236.0,1974_97
1974,98,2237.46,839.26,3076.72,1974_98
1974,99,1462.31,579.18,2041.49,1974_99
1974,100,1007.21,346.11,1353.32,1974_100
1974,101,622.13,251.08,873.21,1974_101
1974,102,448.1,160.05,608.15,1974_102
1974,103,278.06,101.03,379.09,1974_103
1974,104,219.04,62.02,281.06,1974_104
1974,105,101.02,47.02,148.04,1974_105
1974,106,65.02,21.0,86.02,1974_106
1974,107,46.0,13.0,59.0,1974_107
1974,108,33.0,7.0,40.0,1974_108
1974,109,16.0,10.0,26.0,1974_109
1974,0,49.0,27.0,76.0,1974_0
1975,0,21717.43,28819.38,50536.81,1975_0
1975,1,1474.3,1798.46,3272.76,1975_1
1975,2,989.21,1264.33,2253.54,1975_2
1975,3,776.16,1046.27,1822.43,1975_3
1975,4,735.15,978.25,1713.4,1975_4
1975,5,598.12,899.23,1497.35,1975_5
1975,6,538.11,774.2,1312.31,1975_6
1975,7,479.1,743.19,1222.29,1975_7
1975,8,428.08,630.16,1058.24,1975_8
1975,9,425.08,671.18,1096.26,1975_9
1975,10,427.08,709.18,1136.26,1975_10
1975,11,465.09,772.2,1237.29,1975_11
1975,12,465.1,833.22,1298.32,1975_12
1975,13,525.1,1000.26,1525.36,1975_13
1975,14,678.14,1420.36,2098.5,1975_14
1975,15,876.18,1874.48,2750.66,1975_15
1975,16,994.2,2436.62,3430.82,1975_16
1975,17,1179.24,3229.83,4409.07,1975_17
1975,18,1268.26,3976.02,5244.28,1975_18
1975,19,1313.27,4124.05,5437.32,1975_19
