Year,Number (thousands),Median Income Current dollars,Median Income 2022 dollars,Mean Income Current dollars,Mean Income 2022 dollars,Average size of household
2022,131400,74580,74580,106400,106400,2.51
2021,131200,70780,76330,102300,110300,2.5
2020,129200,68010,76660,97470,109900,2.54
2019,128500,68700,78250,98090,111700,2.53
2018,128600,63180,73030,90020,104100,2.52
2017,127700,61140,72090,87640,103300,2.53
2017,127600,61370,72370,86220,101700,2.53
2016,126200,59040,70840,83140,99760,2.54
2015,125800,56520,68410,79260,95950,2.53
2014,124600,53660,64900,75740,91610,2.54
2013,123900,53590,65740,75200,92250,2.53
2013,123000,51940,63720,72640,89120,2.55
2012,122500,51020,63350,71270,88500,2.54
2011,121100,50050,63350,69680,88190,2.55
2010,119900,49280,64300,67390,87940,2.56
2009,117500,49780,65850,67980,89920,2.59
2008,117200,50300,66280,68420,90150,2.57
2007,116800,50230,68610,67610,92340,2.56
2006,116000,48200,67520,66570,93260,2.56
2005,114400,46330,66780,63340,91310,2.57
2004,113300,44330,65760,60470,89690,2.57
2003,112000,43320,65860,59070,89810,2.57
2002,111300,42410,65820,57850,89790,2.57
2001,109300,42230,66360,58210,91470,2.58
2000,108200,41990,67470,57140,91810,2.58
1999,106400,40700,67650,54740,90990,2.6
1998,103900,38890,65980,51860,87980,2.61
1997,102500,37010,63640,49690,85460,2.62
1996,101000,35490,62350,47120,82780,2.64
1995,99630,34080,61440,44940,81030,2.65
1994,98990,32260,59550,43130,79610,2.65
1993,97110,31240,58920,41430,78140,2.67
1992,96430,30640,59210,38840,75070,2.66
1991,95670,30130,59710,37920,75160,2.62
1990,94310,29940,61500,37400,76820,2.63
1989,93350,28910,62260,36520,78660,2.63
1988,92830,27230,61210,34020,76480,2.62
1987,91120,26060,60760,32410,75560,2.64
1986,89480,24900,60010,30760,74140,2.66
1985,88460,23620,57860,29070,71210,2.67
1984,86790,22420,56780,27460,69570,2.69
1983,85410,20890,55120,25400,67040,2.71
1982,83920,20170,55470,24310,66850,2.73
1981,83530,19070,55630,22790,66460,2.72
1980,82370,17710,56580,21060,67300,2.73
1979,80780,16460,58400,19550,69370,2.76
1978,77330,15060,58510,17730,68860,2.78
1977,76030,13570,56320,16100,66810,2.81
1976,74140,12690,56040,14920,65920,2.86
1975,72870,11800,55100,13780,64340,2.89
