Year,Population in thousands,Per capita income Current dollars,Per capita income 2022 dollars
2022,330600,42980,42980
2021,328700,41290,44520
2020,328100,38930,43890
2019,325300,39160,44600
2018,324400,36080,41700
2017,323200,34490,40670
2016,320400,33210,39840
2015,318900,31650,38320
2014,316200,30180,36500
2013,313400,28830,35370
2012,311100,28280,35120
2011,308800,27550,34870
2010,306600,26560,34660
2009,304300,26530,35100
2008,301500,26960,35530
2007,299100,26800,36610
2006,296800,26350,36920
2005,293800,25040,36090
2004,291200,23860,35390
2003,288300,23280,35390
2002,285900,22790,35380
2001,282100,22850,35910
2000,279500,22350,35910
1999,276800,21240,35310
1998,271700,20120,34140
1997,269100,19240,33090
1996,266800,18140,31860
1995,264300,17230,31060
1994,262100,16560,30560
1993,259800,15780,29760
1992,256800,14850,28700
1991,251400,14620,28970
1990,248900,14390,29550
1989,246200,14060,30270
1988,243700,13120,29500
1987,241200,12390,28890
1986,238800,11670,28130
1985,236700,11010,26980
1984,234100,10330,26160
1983,231900,9494,25060
1982,229600,8980,24700
1981,227400,8476,24720
1980,225200,7787,24880
1979,223200,7168,25430
1978,215900,6455,25070
1977,214200,5785,24000
1976,212600,5271,23290
1975,211100,4818,22500
1974,209600,4445,22490
1973,207900,4141,23010
